Baisley Park,Queens,30.105519466902827
South Jamaica,Queens,27.721593460369245
Flushing Meadows-Corona Park,Queens,27.427264355099055
Randalls Island,Manhattan,24.436691404889633
Astoria Park,Queens,21.732319757866083
Springfield Gardens South,Queens,20.913275035143688
Briarwood/Jamaica Hills,Queens,20.875875519160726
Jamaica,Queens,20.471255181648665
Corona,Queens,19.697300132426584
LaGuardia Airport,Queens,18.181784696353937
Maspeth,Queens,17.66251028441968
Jamaica Bay,Queens,17.10052944675789
South Beach/Dongan Hills,Staten Island,16.925827764705872
Eltingville/Annadale/Prince's Bay,Staten Island,16.83776475694445
JFK Airport,Queens,16.778277350729844
Murray Hill-Queens,Queens,14.4761973701957
Battery Park,Manhattan,12.854858690240595
Morningside Heights,Manhattan,12.480308093241394
Greenwich Village North,Manhattan,12.470590004236158
Battery Park City,Manhattan,12.454711110714676
